ano,total_questoes,tamanho_medio_questao,tamanho_medio_contexto,percentual_imagens,questoes_com_imagens
2009,174,157.31034482758622,539.6264367816092,36.206896551724135,63
2010,184,158.80978260869566,489.9945652173913,35.869565217391305,66
2011,185,166.14054054054054,417.25405405405405,38.37837837837838,71
2012,182,142.22527472527472,442.9835164835165,35.714285714285715,65
2013,180,125.82222222222222,406.8,39.44444444444444,71
2014,164,107.13414634146342,454.8292682926829,40.853658536585364,67
2015,169,109.07692307692308,450.3076923076923,34.319526627218934,58
2016,161,124.96894409937889,489.7142857142857,42.2360248447205,68
2017,182,111.00549450549451,571.9285714285714,39.010989010989015,71
2018,174,102.01149425287356,561.7298850574713,41.95402298850575,73
2019,165,100.01212121212122,597.2363636363636,34.54545454545455,57
2020,179,106.09497206703911,591.8938547486033,35.19553072625698,63
2021,183,104.92896174863388,631.1256830601093,36.6120218579235,67
2022,179,95.98324022346368,721.9106145251396,0.0,0
2023,138,102.73913043478261,658.2246376811594,40.57971014492754,56
2024,180,735.0611111111111,0.0,0.0,0
